Check Name,Description,Service,Severity,Pillar
autoscaling_group_multiple_az,EC2 Auto Scaling Group should use multiple Availability Zones,autoscaling,medium,"Reliability"
autoscaling_group_multiple_instance_types,EC2 Auto Scaling Group should use multiple instance types in multiple Availability Zones.,autoscaling,medium,"Reliability, Cost Optimization"
autoscaling_group_using_ec2_launch_template,Check if Amazon EC2 Auto Scaling groups use EC2 launch templates.,autoscaling,medium,"Operational Excellence"
awslambda_function_inside_vpc,Ensure AWS Lambda Functions Are Deployed Inside a VPC,awslambda,low,"Security, Reliability"
awslambda_function_invoke_api_operations_cloudtrail_logging_enabled,Check if Lambda functions invoke API operations are being recorded by CloudTrail.,awslambda,low,"Operational Excellence, Security"
awslambda_function_no_secrets_in_code,Find secrets in Lambda functions code.,awslambda,critical,"Security"
awslambda_function_no_secrets_in_variables,Find secrets in Lambda functions variables.,awslambda,critical,"Security"
awslambda_function_not_publicly_accessible,Check if Lambda functions have resource-based policy set as Public.,awslambda,critical,"Security"
awslambda_function_url_cors_policy,Check Lambda Function URL CORS configuration.,awslambda,medium,"Security"
awslambda_function_url_public,Check Public Lambda Function URL.,awslambda,high,"Security"
awslambda_function_using_supported_runtimes,Find obsolete Lambda runtimes.,awslambda,medium,"Security, Operational Excellence"
awslambda_function_vpc_multi_az,Check if AWS Lambda Function VPC is deployed Across Multiple Availability Zones,awslambda,medium,"Reliability"
backup_plans_exist,Ensure that there is at least one AWS Backup plan,backup,low,"Reliability, Operational Excellence"
backup_recovery_point_encrypted,Check if AWS Backup recovery points are encrypted at rest.,backup,medium,"Security"
backup_reportplans_exist,Ensure that there is at least one AWS Backup report plan,backup,low,"Operational Excellence"
backup_vaults_encrypted,Ensure that AWS Backup vaults are encrypted with AWS KMS,backup,medium,"Security"
backup_vaults_exist,Ensure AWS Backup vaults exist,backup,low,"Reliability"
bedrock_agent_guardrail_enabled,Ensure that Guardrails are enabled for Amazon Bedrock agent sessions.,bedrock,high,"Security"
bedrock_guardrail_prompt_attack_filter_enabled,Configure Prompt Attack Filter with the highest strength for Amazon Bedrock Guardrails.,bedrock,high,"Security"
bedrock_guardrail_sensitive_information_filter_enabled,Configure Sensitive Information Filters for Amazon Bedrock Guardrails.,bedrock,high,"Security"
bedrock_model_invocation_logging_enabled,Ensure that model invocation logging is enabled for Amazon Bedrock.,bedrock,medium,"Security, Operational Excellence"
bedrock_model_invocation_logs_encryption_enabled,Ensure that Amazon Bedrock model invocation logs are encrypted with KMS.,bedrock,high,"Security"
cloudformation_stack_cdktoolkit_bootstrap_version,Ensure that CDKToolkit stacks have a Bootstrap version of 21 or higher to mitigate security risks.,cloudformation,high,"Security"
cloudformation_stack_outputs_find_secrets,Find secrets in CloudFormation outputs,cloudformation,critical,"Security"
cloudformation_stacks_termination_protection_enabled,Enable termination protection for Cloudformation Stacks,cloudformation,medium,"Reliability, Operational Excellence"
cloudfront_distributions_custom_ssl_certificate,CloudFront distributions should use custom SSL/TLS certificates.,cloudfront,medium,"Security"
cloudfront_distributions_default_root_object,Check if CloudFront distributions have a default root object.,cloudfront,high,"Security"
cloudfront_distributions_field_level_encryption_enabled,Check if CloudFront distributions have Field Level Encryption enabled.,cloudfront,low,"Security"
cloudfront_distributions_geo_restrictions_enabled,Check if Geo restrictions are enabled in CloudFront distributions.,cloudfront,low,"Security"
cloudfront_distributions_https_enabled,Check if CloudFront distributions are set to HTTPS.,cloudfront,medium,"Security"
cloudfront_distributions_https_sni_enabled,Check if CloudFront distributions are using SNI to serve HTTPS requests.,cloudfront,low,"Security"
cloudfront_distributions_logging_enabled,Check if CloudFront distributions have logging enabled.,cloudfront,medium,"Operational Excellence, Security"
cloudfront_distributions_multiple_origin_failover_configured,Check if CloudFront distributions have origin failover enabled.,cloudfront,low,"Reliability"
cloudfront_distributions_origin_traffic_encrypted,Check if CloudFront distributions encrypt traffic to custom origins.,cloudfront,medium,"Security"
cloudfront_distributions_s3_origin_access_control,Check if CloudFront distributions with S3 origin use OAC.,cloudfront,medium,"Security"
cloudfront_distributions_s3_origin_non_existent_bucket,CloudFront distributions should not point to non-existent S3 origins without static website hosting.,cloudfront,high,"Reliability, Security"
cloudfront_distributions_using_deprecated_ssl_protocols,Check if CloudFront distributions are using deprecated SSL protocols.,cloudfront,low,"Security"
cloudfront_distributions_using_waf,Check if CloudFront distributions are using WAF.,cloudfront,medium,"Security"
cloudtrail_bucket_requires_mfa_delete,Ensure the S3 bucket CloudTrail bucket requires MFA delete,cloudtrail,medium,"Security"
cloudtrail_cloudwatch_logging_enabled,Ensure CloudTrail trails are integrated with CloudWatch Logs,cloudtrail,low,"Operational Excellence, Security"
cloudtrail_insights_exist,Ensure CloudTrail Insight is enabled,cloudtrail,low,"Operational Excellence"
cloudtrail_kms_encryption_enabled,Ensure CloudTrail logs are encrypted at rest using KMS CMKs,cloudtrail,medium,"Security"
cloudtrail_log_file_validation_enabled,Ensure CloudTrail log file validation is enabled,cloudtrail,medium,"Security"
cloudtrail_logs_s3_bucket_access_logging_enabled,Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket,cloudtrail,medium,"Operational Excellence, Security"
cloudtrail_logs_s3_bucket_is_not_publicly_accessible,Ensure the S3 bucket CloudTrail logs is not publicly accessible,cloudtrail,critical,"Security"
cloudtrail_multi_region_enabled,Ensure CloudTrail is enabled in all regions,cloudtrail,high,"Security, Operational Excellence"
cloudtrail_multi_region_enabled_logging_management_events,Ensure CloudTrail logging management events in All Regions,cloudtrail,low,"Security, Operational Excellence"
cloudtrail_s3_dataevents_read_enabled,Check if S3 buckets have Object-level logging for read events is enabled in CloudTrail.,cloudtrail,low,"Operational Excellence, Security"
cloudtrail_s3_dataevents_write_enabled,Check if S3 buckets have Object-level logging for write events is enabled in CloudTrail.,cloudtrail,low,"Operational Excellence, Security"
cloudwatch_alarm_actions_alarm_state_configured,Check if CloudWatch alarms have specified actions configured for the ALARM state.,cloudwatch,high,"Reliability, Operational Excellence"
cloudwatch_alarm_actions_enabled,Check if CloudWatch alarms have actions enabled,cloudwatch,high,"Reliability, Operational Excellence"
cloudwatch_changes_to_network_acls_alarm_configured,Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL).,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_changes_to_network_gateways_alarm_configured,Ensure a log metric filter and alarm exist for changes to network gateways.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_changes_to_network_route_tables_alarm_configured,Ensure route table changes are monitored,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_changes_to_vpcs_alarm_configured,Ensure a log metric filter and alarm exist for VPC changes.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_cross_account_sharing_disabled,Check if CloudWatch has allowed cross-account sharing.,cloudwatch,medium,"Security"
cloudwatch_log_group_kms_encryption_enabled,Check if CloudWatch log groups are protected by AWS KMS.,cloudwatch,medium,"Security"
cloudwatch_log_group_no_secrets_in_logs,Check if secrets exists in CloudWatch logs.,cloudwatch,medium,"Security"
cloudwatch_log_group_not_publicly_accessible,Ensure that CloudWatch Log Groups are not publicly accessible,cloudwatch,high,"Security"
cloudwatch_log_group_retention_policy_specific_days_enabled,Check if CloudWatch Log Groups have a retention policy of specific days.,cloudwatch,medium,"Cost Optimization, Operational Excellence"
cloudwatch_log_metric_filter_and_alarm_for_aws_config_configuration_changes_enabled,Ensure a log metric filter and alarm exist for AWS Config configuration changes.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled,Ensure a log metric filter and alarm exist for CloudTrail configuration changes.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_log_metric_filter_authentication_failures,Ensure a log metric filter and alarm exist for AWS Management Console authentication failures.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_log_metric_filter_aws_organizations_changes,Ensure a log metric filter and alarm exist for AWS Organizations changes.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk,Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created KMS CMKs.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_log_metric_filter_for_s3_bucket_policy_changes,Ensure a log metric filter and alarm exist for S3 bucket policy changes.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_log_metric_filter_policy_changes,Ensure a log metric filter and alarm exist for IAM policy changes.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_log_metric_filter_root_usage,Ensure a log metric filter and alarm exist for usage of root account.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_log_metric_filter_security_group_changes,Ensure a log metric filter and alarm exist for security group changes.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_log_metric_filter_sign_in_without_mfa,Ensure a log metric filter and alarm exist for Management Console sign-in without MFA.,cloudwatch,medium,"Security, Operational Excellence"
cloudwatch_log_metric_filter_unauthorized_api_calls,Ensure a log metric filter and alarm exist for unauthorized API calls.,cloudwatch,medium,"Security, Operational Excellence"
codeartifact_packages_external_public_publishing_disabled,Ensure CodeArtifact internal packages do not allow external public source publishing.,codeartifact,critical,"Security"
codebuild_project_logging_enabled,Ensure that CodeBuild projects have S3 or CloudWatch logging enabled,codebuild,medium,"Operational Excellence, Security"
codebuild_project_no_secrets_in_variables,Ensure CodeBuild projects do not contain secrets on plaintext environment variables,codebuild,critical,"Security"
codebuild_project_not_publicly_accessible,Ensure AWS CodeBuild projects are not public,codebuild,high,"Security"
codebuild_project_older_90_days,Ensure CodeBuild Project has been invoked in the last 90 days,codebuild,medium,"Operational Excellence, Cost Optimization"
codebuild_project_s3_logs_encrypted,Ensure S3 Logs for CodeBuild Projects are encrypted at rest.,codebuild,low,"Security"
codebuild_project_source_repo_url_no_sensitive_credentials,Ensure CodeBuild project source repository URLs do not contain sensitive credentials,codebuild,critical,"Security"
codebuild_project_user_controlled_buildspec,Ensure CodeBuild Project uses a controlled buildspec,codebuild,medium,"Security"
codebuild_report_group_export_encrypted,CodeBuild report group exports are encrypted at rest,codebuild,medium,"Security"
cognito_identity_pool_guest_access_disabled,Ensure Cognito Identity Pool has guest access disabled,cognito,medium,"Security"
cognito_user_pool_advanced_security_enabled,Ensure cognito user pools has advanced security enabled with full-function,cognito,medium,"Security"
cognito_user_pool_blocks_compromised_credentials_sign_in_attempts,Ensure that advanced security features are enabled for Amazon Cognito User Pools to block sign-in by users with suspected compromised credentials,cognito,medium,"Security"
cognito_user_pool_blocks_potential_malicious_sign_in_attempts,Ensure that your Amazon Cognito user pool blocks potential malicious sign-in attempts,cognito,medium,"Security"
cognito_user_pool_client_prevent_user_existence_errors,Amazon Cognito User Pool should prevent user existence errors,cognito,medium,"Security"
cognito_user_pool_client_token_revocation_enabled,Ensure that token revocation is enabled for Amazon Cognito User Pools,cognito,medium,"Security"
cognito_user_pool_deletion_protection_enabled,Ensure cognito user pools deletion protection enabled to prevent accidental deletion,cognito,medium,"Reliability, Security"
cognito_user_pool_mfa_enabled,Ensure Multi-Factor Authentication (MFA) is enabled for Amazon Cognito User Pools,cognito,medium,"Security"
cognito_user_pool_password_policy_lowercase,Ensure Cognito User Pool has password policy to require at least one lowercase letter,cognito,medium,"Security"
cognito_user_pool_password_policy_minimum_length_14,Ensure that the password policy for your user pools require a minimum length of 14 or greater,cognito,medium,"Security"
cognito_user_pool_password_policy_number,Ensure that the password policy for your user pool requires a number,cognito,medium,"Security"
cognito_user_pool_password_policy_symbol,Ensure that the password policy for your Amazon Cognito user pool requires at least one symbol.,cognito,medium,"Security"
cognito_user_pool_password_policy_uppercase,Ensure that the password policy for your user pool requires at least one uppercase letter,cognito,medium,"Security"
cognito_user_pool_self_registration_disabled,Ensure self registration is disabled for Amazon Cognito User Pools,cognito,medium,"Security"
cognito_user_pool_temporary_password_expiration,Ensure that the user pool has a temporary password expiration period of 7 days or less,cognito,medium,"Security"
cognito_user_pool_waf_acl_attached,Ensure that Amazon Cognito User Pool is associated with a WAF Web ACL,cognito,medium,"Security"
config_recorder_all_regions_enabled,Ensure AWS Config is enabled in all regions.,config,medium,"Operational Excellence, Security"
config_recorder_using_aws_service_role,Ensure Config Recorder is using service-linked AWS Config role,config,medium,"Security"
datasync_task_logging_enabled,DataSync tasks should have logging enabled,datasync,high,"Operational Excellence, Security"
directconnect_connection_redundancy,Ensure Direct Connect connections are redundant,directconnect,medium,"Reliability"
directconnect_virtual_interface_redundancy,Ensure Direct Connect virtual interface(s) are providing redundant connections,directconnect,medium,"Reliability"
directoryservice_directory_log_forwarding_enabled,Directory Service monitoring with CloudWatch logs.,directoryservice,medium,"Operational Excellence, Security"
directoryservice_directory_monitor_notifications,Directory Service has SNS Notifications enabled.,directoryservice,medium,"Operational Excellence"
directoryservice_directory_snapshots_limit,Directory Service Manual Snapshots limit reached.,directoryservice,low,"Operational Excellence"
directoryservice_ldap_certificate_expiration,Directory Service LDAP Certificates expiration.,directoryservice,medium,"Security, Operational Excellence"
directoryservice_radius_server_security_protocol,Ensure Radius server in DS is using the recommended security protocol.,directoryservice,medium,"Security"
directoryservice_supported_mfa_radius_enabled,Ensure Multi-Factor Authentication (MFA) using Radius Server is enabled in DS.,directoryservice,medium,"Security"
dlm_ebs_snapshot_lifecycle_policy_exists,Ensure EBS Snapshot lifecycle policies are defined.,dlm,medium,"Reliability, Cost Optimization"
dms_endpoint_mongodb_authentication_enabled,Check if DMS endpoints for MongoDB have an authentication mechanism enabled.,dms,medium,"Security"
dms_endpoint_neptune_iam_authorization_enabled,Check if DMS endpoints for Neptune databases have IAM authorization enabled.,dms,medium,"Security"
dms_endpoint_redis_in_transit_encryption_enabled,Check if DMS endpoints for Redis OSS are encrypted in transit.,dms,medium,"Security"
dms_endpoint_ssl_enabled,Ensure SSL mode is enabled in DMS endpoint,dms,high,"Security"
dms_instance_minor_version_upgrade_enabled,Ensure DMS instances have auto minor version upgrade enabled.,dms,medium,"Reliability"
dms_instance_multi_az_enabled,Ensure DMS instances have multi az enabled.,dms,medium,"Reliability"
dms_instance_no_public_access,Ensure DMS instances are not publicly accessible.,dms,critical,"Security"
dms_replication_task_source_logging_enabled,Check if DMS replication tasks for the source database have logging enabled.,dms,medium,"Operational Excellence, Security"
dms_replication_task_target_logging_enabled,Check if DMS replication tasks for the target database have logging enabled.,dms,medium,"Operational Excellence, Security"
documentdb_cluster_backup_enabled,Check if DocumentDB Clusters have backup enabled.,DocumentDB,medium,"Reliability"
documentdb_cluster_cloudwatch_log_export,Check if DocumentDB clusters are using the log export feature.,documentdb,medium,"Operational Excellence, Security"
documentdb_cluster_deletion_protection,Check if DocumentDB Clusters has deletion protection enabled.,documentdb,medium,"Reliability"
documentdb_cluster_multi_az_enabled,Ensure DocumentDB Cluster have Multi-AZ enabled.,documentdb,medium,"Reliability"
documentdb_cluster_public_snapshot,Check if DocumentDB manual cluster snapshot is public.,documentdb,critical,"Security"
documentdb_cluster_storage_encrypted,Check if DocumentDB cluster storage is encrypted.,documentdb,medium,"Security"
drs_job_exist,Ensure DRS is enabled with jobs.,drs,medium,"Reliability"
dynamodb_accelerator_cluster_encryption_enabled,Check if DynamoDB DAX Clusters are encrypted at rest.,dynamodb,medium,"Security"
dynamodb_accelerator_cluster_in_transit_encryption_enabled,Check if DynamoDB Accelerator (DAX) clusters are encrypted in transit.,dynamodb,medium,"Security"
dynamodb_accelerator_cluster_multi_az,Check if DynamoDB Accelerator (DAX) clusters have nodes in multiple availability zones.,dynamodb,medium,"Reliability"
dynamodb_table_autoscaling_enabled,Check if DynamoDB tables automatically scale capacity with demand.,dynamodb,medium,"Performance Efficiency, Cost Optimization"
dynamodb_table_cross_account_access,DynamoDB tables should not be accessible from other AWS accounts,dynamodb,medium,"Security"
dynamodb_table_deletion_protection_enabled,Check if DynamoDB tables have deletion protection enabled.,dynamodb,medium,"Reliability"
dynamodb_table_protected_by_backup_plan,Check if DynamoDB tables are included in a backup plan.,dynamodb,medium,"Reliability"
dynamodb_tables_kms_cmk_encryption_enabled,Check if DynamoDB table has encryption at rest enabled using CMK KMS.,dynamodb,medium,"Security"
dynamodb_tables_pitr_enabled,Check if DynamoDB tables point-in-time recovery (PITR) is enabled.,dynamodb,medium,"Reliability"
ec2_ami_public,Ensure there are no EC2 AMIs set as Public.,ec2,critical,"Security"
ec2_client_vpn_endpoint_connection_logging_enabled,EC2 Client VPN endpoints should have client connection logging enabled.,ec2,low,"Operational Excellence, Security"
ec2_ebs_default_encryption,Check if EBS Default Encryption is activated.,ec2,medium,"Security"
ec2_ebs_public_snapshot,Ensure there are no EBS Snapshots set as Public.,ec2,critical,"Security"
ec2_ebs_snapshot_account_block_public_access,Ensure that public access to EBS snapshots is disabled,ec2,high,"Security"
ec2_ebs_snapshots_encrypted,Check if EBS snapshots are encrypted.,ec2,medium,"Security"
ec2_ebs_volume_encryption,Ensure there are no EBS Volumes unencrypted.,ec2,medium,"Security"
ec2_ebs_volume_protected_by_backup_plan,Amazon EBS volumes should be protected by a backup plan.,ec2,low,"Reliability"
ec2_ebs_volume_snapshots_exists,Check if EBS snapshots exists.,ec2,medium,"Reliability"
ec2_elastic_ip_shodan,Check if any of the Elastic or Public IP are in Shodan (requires Shodan API KEY).,ec2,high,"Security"
ec2_elastic_ip_unassigned,Check if there is any unassigned Elastic IP.,ec2,low,"Cost Optimization"
ec2_instance_account_imdsv2_enabled,Ensure Instance Metadata Service Version 2 (IMDSv2) is enforced for EC2 instances at the account level to protect against SSRF vulnerabilities.,ec2,high,"Security"
ec2_instance_detailed_monitoring_enabled,Check if EC2 instances have detailed monitoring enabled.,ec2,low,"Operational Excellence"
ec2_instance_imdsv2_enabled,Check if EC2 Instance Metadata Service Version 2 (IMDSv2) is Enabled and Required.,ec2,high,"Security"
ec2_instance_internet_facing_with_instance_profile,Check for internet facing EC2 instances with Instance Profiles attached.,ec2,medium,"Security"
ec2_instance_managed_by_ssm,Check if EC2 instances are managed by Systems Manager.,ec2,medium,"Operational Excellence, Security"
ec2_instance_older_than_specific_days,Check EC2 Instances older than specific days.,ec2,medium,"Operational Excellence, Cost Optimization"
ec2_instance_paravirtual_type,Amazon EC2 paravirtual virtualization type should not be used.,ec2,medium,"Reliability, Operational Excellence"
ec2_instance_port_cassandra_exposed_to_internet,"Ensure no EC2 instances allow ingress from the internet to Cassandra ports (TCP 7000, 7001, 7199, 9042, 9160).",ec2,critical,"Security"
ec2_instance_port_cifs_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 139 or 445 (CIFS).,ec2,critical,"Security"
ec2_instance_port_elasticsearch_kibana_exposed_to_internet,"Ensure no EC2 instances allow ingress from the internet to Elasticsearch and Kibana ports (TCP 9200, 9300, 5601).",ec2,critical,"Security"
ec2_instance_port_ftp_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 20 or 21 (FTP),ec2,critical,"Security"
ec2_instance_port_kafka_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 9092 (Kafka).,ec2,critical,"Security"
ec2_instance_port_kerberos_exposed_to_internet,"Ensure no EC2 instances allow ingress from the internet to TCP port 88, 464, 749 or 750 (Kerberos).",ec2,critical,"Security"
ec2_instance_port_ldap_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 389 or 636 (LDAP).,ec2,critical,"Security"
ec2_instance_port_memcached_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 11211 (Memcached).,ec2,critical,"Security"
ec2_instance_port_mongodb_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 27017 or 27018 (MongoDB),ec2,critical,"Security"
ec2_instance_port_mysql_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 3306 (MySQL).,ec2,critical,"Security"
ec2_instance_port_oracle_exposed_to_internet,"Ensure no EC2 instances allow ingress from the internet to TCP port 1521, 2483 or 2484 (Oracle).",ec2,critical,"Security"
ec2_instance_port_postgresql_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 5432 (PostgreSQL),ec2,critical,"Security"
ec2_instance_port_rdp_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 3389 (RDP),ec2,critical,"Security"
ec2_instance_port_redis_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 6379 (Redis).,ec2,critical,"Security"
ec2_instance_port_sqlserver_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 1433 or 1434 (SQL Server).,ec2,critical,"Security"
ec2_instance_port_ssh_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 22 (SSH),ec2,critical,"Security"
ec2_instance_port_telnet_exposed_to_internet,Ensure no EC2 instances allow ingress from the internet to TCP port 23 (Telnet).,ec2,critical,"Security"
ec2_instance_profile_attached,Ensure IAM instance roles are used for AWS resource access from instances,ec2,medium,"Security"
ec2_instance_public_ip,Check for EC2 Instances with Public IP.,ec2,medium,"Security"
ec2_instance_secrets_user_data,Find secrets in EC2 User Data.,ec2,critical,"Security"
ec2_instance_uses_single_eni,Amazon EC2 instances should not use multiple ENIs,ec2,low,"Reliability"
ec2_launch_template_imdsv2_required,Amazon EC2 launch templates should have IMDSv2 enabled and required.,ec2,high,"Security"
ec2_launch_template_no_public_ip,Amazon EC2 launch templates should not assign public IPs to network interfaces.,ec2,high,"Security"
ec2_launch_template_no_secrets,Find secrets in EC2 Launch Template,ec2,critical,"Security"
ec2_networkacl_allow_ingress_any_port,Ensure no Network ACLs allow ingress from 0.0.0.0/0 to any port.,ec2,medium,"Security"
ec2_networkacl_allow_ingress_tcp_port_22,Ensure no Network ACLs allow ingress from 0.0.0.0/0 to SSH port 22,ec2,medium,"Security"
ec2_networkacl_allow_ingress_tcp_port_3389,Ensure no Network ACLs allow ingress from 0.0.0.0/0 to Microsoft RDP port 3389,ec2,medium,"Security"
ec2_networkacl_unused,Unused Network Access Control Lists should be removed.,ec2,low,"Cost Optimization, Operational Excellence"
ec2_securitygroup_allow_ingress_from_internet_to_all_ports,Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to all ports.,ec2,critical,"Security"
ec2_securitygroup_allow_ingress_from_internet_to_any_port,Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to any port.,ec2,high,"Security"
ec2_securitygroup_allow_ingress_from_internet_to_high_risk_tcp_ports,Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to high risk ports.,ec2,critical,"Security"
ec2_securitygroup_allow_ingress_from_internet_to_port_mongodb_27017_27018,Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to MongoDB ports 27017 and 27018.,ec2,high,"Security"
ec2_securitygroup_allow_ingress_from_internet_to_tcp_ftp_port_20_21,Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to FTP ports 20 or 21.,ec2,high,"Security"
ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22,Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to SSH port 22.,ec2,high,"Security"
ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_3389,Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to port 3389.,ec2,high,"Security"
ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_cassandra_7199_9160_8888,Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Cassandra ports 7199 or 9160 or 8888.,ec2,high,"Security"
ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_elasticsearch_kibana_9200_9300_5601,Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Elasticsearch/Kibana ports.,ec2,high,"Security"
ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_kafka_9092,Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Kafka port 9092.,ec2,high,"Security"
ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_memcached_11211,Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Memcached port 11211.,ec2,high,"Security"
